name,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90,run_91,run_92,run_93,run_94,run_95,run_96,run_97,run_98,run_99,mean,variance,standard deviation
frontal_10k,3.03500009,2.30780005,2.02920008,2.14479995,2.03250003,2.12210011,2.00550008,1.88619995,1.62460005,1.66059995,1.70009995,1.61559999,1.56500006,1.60539997,2.18280005,2.30259991,1.58290005,1.55340004,1.94959998,1.6401,1.8247,2.11890006,2.2967999,2.10100007,1.81840003,1.54779994,1.51450002,2.13120008,1.6415,1.5862,1.50399995,1.68099999,1.49720001,1.7651,1.55850005,1.57620001,1.60380006,1.77880001,1.83350003,2.00679994,1.96659994,2.2966001,1.89219999,2.45630002,1.55840003,1.71280003,1.91110003,2.02209997,1.68509996,2.06290007,1.60249996,1.66340005,1.60010004,1.7723,2.15120006,1.92970002,1.98430002,1.92709994,1.85619998,1.88549995,1.79680002,2.5237999,2.1487,1.56330001,1.56939995,2.39980006,1.59990001,2.06620002,1.95780003,1.87530005,1.59249997,1.79859996,2.05850005,1.46739995,1.64030004,1.53770006,1.70659995,2.17569995,2.05040002,1.495,1.83410001,2.00620008,1.6868,1.90009999,1.60829997,1.75189996,1.73179996,1.67809999,1.58640003,1.45560002,1.49800003,2.16610003,1.56289995,1.78849995,1.60959995,2.32599998,1.74530005,1.98759997,1.43470001,1.64680004,1.83896625,0.0808204636,0.28428939
frontal_50k,7.18720007,9.46500015,8.79380035,8.91040039,8.60739994,8.67080021,9.00259972,7.55530024,6.71140003,7.86490011,7.11679983,7.18889999,7.59060001,7.37209988,7.20909977,6.95149994,7.27839994,8.49919987,6.74090004,7.75759983,9.02000046,7.58010006,7.59259987,7.81820011,7.72550011,6.88119984,6.62209988,7.80730009,8.12909985,8.15310001,6.33939981,8.39799976,6.34660006,7.65399981,6.55970001,6.62799978,6.45030022,7.35930014,7.37300014,7.91569996,7.35540009,9.10809994,7.71700001,7.26370001,6.44420004,7.23699999,7.3586998,8.08199978,6.99289989,7.5472002,8.7585001,6.74639988,6.22550011,7.01079988,6.59630013,7.19560003,7.11539984,6.42939997,7.32520008,6.67990017,7.44259977,7.01809978,7.00339985,6.33050013,7.85169983,7.29330015,6.4145999,7.84000015,7.49480009,7.17579985,8.1892004,7.49709988,7.39470005,7.10319996,6.5388999,6.49660015,8.20020008,7.55089998,7.90280008,6.48000002,7.2737999,7.11829996,6.63800001,8.21000004,6.4920001,7.24830008,8.4197998,6.74800014,6.49609995,7.32870007,6.65070009,6.69880009,7.81519985,7.03630018,7.20930004,7.69290018,6.23729992,7.13590002,7.94950008,6.71560001,7.38349056,0.536662042,0.732572198
frontal_100k,13.8292999,18.2861004,17.0161991,17.0431004,17.6699009,16.8201008,17.4470005,13.9324999,13.9802999,14.2522001,15.3950996,15.5670004,14.9463997,14.5348997,14.3418999,13.8994999,13.7903004,13.2448997,14.4427996,13.302,13.1894999,14.6598997,15.4914999,13.7959995,13.3846998,13.0929003,13.8783998,15.2793999,14.0263996,14.5045996,12.3885002,14.9264002,14.8332996,14.7343998,14.3348999,12.8614998,12.4466,13.9127998,14.5809002,14.7009001,15.5674,15.3902998,13.0193996,13.8790998,12.5179996,15.3450003,14.6239004,14.4556999,13.9115,14.2708998,13.4672003,15.3255997,12.7518997,13.6964998,12.9841995,13.6315002,15.3245001,14.7566004,14.2617998,15.6623001,13.4723997,13.5201998,14.2883997,12.0671997,13.0974998,15.3845997,12.3374004,13.6351004,13.8424997,13.3598003,15.0619001,14.3514004,14.4036999,15.4713001,14.4709997,12.3059998,13.4722004,14.6583996,14.5551996,13.0223999,15.9228001,15.2033997,16.2304001,13.7756996,13.8594999,14.5184002,14.9701004,14.4247999,12.5452003,12.8431997,12.7805996,13.5008001,13.2154999,14.2958002,14.1187,16.5352993,13.6359997,13.6688995,14.7510996,14.2847996,14.3146763,1.46955669,1.21225274
frontal_200k,25.5970993,33.4598999,32.9332008,33.5752983,33.5200005,34.0028,28.7938995,29.4573994,28.4673004,28.9979,25.3638,25.1991997,26.8052006,26.7642994,26.0468998,25.3411007,25.3880005,27.7168007,26.3913002,27.6555004,25.6429996,24.9407005,26.0554008,25.4811001,25.9799995,26.5617008,27.0028,25.6429005,26.1912994,28.4727993,25.8181992,27.3759003,25.2849007,26.1571999,25.6588001,25.2805996,25.2460003,26.6249008,26.5907001,26.2182999,26.6613998,27.5056,26.9158001,27.1678009,23.6923008,27.5741005,28.1550999,27.2026005,25.7824993,30.1387005,25.5028992,26.4176998,27.1443996,26.9484997,28.7001991,28.0440006,26.4491997,27.6758995,26.8045998,24.6966991,26.3229008,26.2029991,26.7950993,26.4689999,29.1103992,27.8497009,27.0636997,27.3610992,29.3027,27.9060001,24.7469006,29.1970005,25.5081005,23.2593002,28.4120998,27.2828007,27.3610001,28.7054005,26.6574993,26.2537994,28.0347004,26.5540009,27.0706997,23.4034004,27.8792992,28.8421001,25.7241993,28.7362995,23.1854992,27.1767006,25.3220005,27.5501995,29.3679008,25.2844009,27.4713993,25.4386005,25.8880997,28.1763,25.5028992,27.2584991,27.0851898,4.09757805,2.02424741
frontal_250k,38.4600983,44.2272987,43.0217018,43.2596016,44.9925003,42.6230011,39.4598007,34.9424019,38.3302002,34.1365013,38.6763,35.5,34.0591011,36.6185989,35.1562004,35.0334015,33.6286011,33.8191986,36.4124985,33.8358002,35.4165001,30.2644005,33.8656998,32.8097,34.8179016,33.7201004,34.6246986,34.7327995,33.8335991,32.7453995,34.7517014,34.3613014,32.5215988,34.4692001,31.1168995,35.7201996,34.6172981,35.3955002,34.6408997,33.9412003,35.4631996,35.1437988,35.1749001,34.172699,32.1066017,35.6982002,36.2116013,30.7162991,34.7771988,32.7336006,33.4936981,34.2706985,33.7453003,35.7932014,30.4862003,35.105999,29.8059006,34.5920982,35.1641998,33.9878006,30.4085007,35.4869003,33.2196999,32.9611015,33.9664993,33.3568001,34.5074005,29.7854996,31.8836994,34.577301,30.1033993,33.4132996,32.7290993,33.3022003,33.912899,32.3278999,35.6507988,34.3021011,30.6844997,34.9177017,34.2831993,30.4626999,35.6477013,34.4291,32.8063011,33.1692009,30.2332993,33.466301,34.6479988,34.8289986,33.0667992,33.4570999,35.8762016,35.328701,33.8759003,30.3493004,35.6351013,30.1688004,34.1599007,33.8736,34.444664,8.04885292,2.83704996
