name,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90,run_91,run_92,run_93,run_94,run_95,run_96,run_97,run_98,run_99,mean,variance,standard deviation
frontal_10k,1.76349902,0.680885017,0.866124988,0.763532996,0.659435987,0.796756983,0.679841995,0.68908298,0.512071013,0.544073999,0.690304995,0.596041977,0.570294023,0.510487974,0.807491004,0.596010029,0.508103013,0.852535009,0.801518977,0.739497006,0.673677981,0.546279013,0.627341986,0.491755009,0.728591979,0.500555992,0.85276401,0.660948992,0.703345001,0.533239007,0.989775002,0.67019999,0.515559018,0.601915002,0.53828001,0.691097021,0.488117009,0.514455974,0.689063013,0.532056987,1.11862898,0.530161977,0.517132998,0.649553001,0.533829987,0.618431985,1.59136999,0.674089015,0.545718014,0.530232012,0.815760016,1.01783895,0.994355023,0.492105991,0.533820987,0.715041995,0.656719983,0.621559978,0.662312984,0.763522029,0.533510029,0.53452301,0.950927019,0.496455997,0.692790985,0.567616999,0.529020011,0.497749001,0.783757985,0.598608017,0.511479974,0.747804999,1.49209404,0.643267989,0.53471297,0.701291025,0.687379003,0.706220984,1.53448999,1.05215597,0.831115007,0.693181992,0.716566026,0.902907014,0.693853021,0.677015007,0.790884018,1.40475595,0.901386023,0.965510011,1.115188,0.696770012,0.786212981,1.65272796,0.879213989,1.87837994,1.29775405,0.676123977,0.753880024,1.47956598,0.763476253,0.0875847787,0.295947254
frontal_50k,2.42767692,2.78232098,2.27245402,2.15929699,2.20152307,2.23930907,2.11007595,3.37246895,1.93212199,2.07241988,2.1208601,2.40111494,1.854146,2.07978702,1.87035203,2.06735897,2.00744295,1.93045795,1.99547398,2.05679488,2.4909389,1.98341703,2.34272289,2.19971895,1.99447298,2.05430889,2.26879597,2.34720302,2.00482702,1.85707104,2.209481,2.16472006,1.86537099,2.10634708,1.86740506,1.96900594,2.07344294,2.45664191,1.99412298,1.86380804,2.03974509,2.00392509,2.39728689,2.40505505,2.4104259,2.29253888,2.18712997,3.43183303,1.93726397,2.18690896,2.28130293,2.12659311,3.37596703,1.90789795,2.050771,1.98480105,2.15128994,1.98952198,2.072119,1.92754197,2.10521412,1.86043,2.088346,2.28117394,1.93277299,1.95984495,2.4416821,2.11990809,1.86813605,1.89421594,1.84548497,2.76434112,4.19834185,3.06671405,3.59823108,2.3721199,2.94961905,2.17518497,2.50176406,2.90428305,2.65107298,2.8139329,2.10479403,2.80160499,2.52142811,2.17505288,2.17819095,2.167135,2.79183197,2.4668951,2.97808504,2.19602108,2.2295959,5.35624695,4.14097023,4.33294678,2.64201093,3.64180994,3.70362902,2.77547503,2.38823748,0.372911602,0.610664904
frontal_100k,4.18837881,4.64598799,4.90065479,4.28943777,4.54050779,4.52750921,4.29356718,4.38487387,3.93727899,3.94383407,4.13639116,4.15747881,4.08546591,4.08896494,4.06115007,4.05159807,4.27908421,4.03158283,3.92037106,4.56813097,3.89521408,4.58356524,4.50584984,4.17024803,4.31055593,4.41309786,4.72677088,4.58249378,4.41928291,4.11189604,3.827811,4.10790682,3.94800401,4.09829521,3.995893,3.93283892,5.33959007,3.96436095,4.10392809,4.07238579,4.01864481,3.92342806,4.07958317,4.2493782,4.29853916,10.5633774,4.29305696,4.27794123,4.67157698,4.11426115,4.03235722,5.3192029,4.88925886,4.62136984,3.97256994,4.38454294,4.18683577,4.21325493,4.4638629,3.79732203,3.99193406,4.27027607,4.18126297,4.00285816,4.3362751,4.14573288,4.14269495,4.40156221,3.83127999,4.03844881,6.25666523,7.69919109,5.73109818,4.55497217,5.26095104,4.95709181,4.53465509,5.11654282,4.46040583,4.80973816,5.33924913,4.37834978,4.56973505,4.47064877,4.21592093,4.457551,5.24624014,4.73908806,4.97604418,4.34160709,4.32280302,4.70403719,5.09947491,9.2553606,5.73623085,5.46441412,5.27354002,5.85858679,5.31375217,5.45592308,4.60454798,0.940417945,0.969751477
frontal_200k,13.02458,13.9689598,13.4410334,14.2713366,13.6695814,13.2221384,13.5940905,13.2347956,12.7405252,13.0028896,12.54006,13.0299311,13.4836903,13.2675285,13.8624992,13.2834768,13.0582657,13.5140991,12.9348469,13.339263,13.5786667,111.694733,13.0614624,12.7973843,12.8919191,13.4565296,13.70432,13.7425566,13.338994,14.194562,13.3919811,14.1851501,13.2353287,12.8888226,12.5815639,12.6035852,12.7515202,13.0631666,13.3196478,12.992487,12.7480631,12.5888624,13.1162319,12.5611181,13.882906,14.0797329,13.025773,13.1027069,13.9839954,12.5700378,13.3843164,13.385088,14.052803,14.5181274,12.7470503,12.6231403,12.870759,13.5456533,12.615943,13.3498573,13.5019016,12.8317614,12.7400446,13.4560423,12.7838078,13.0400286,12.8193436,12.7710238,12.8182716,12.6703815,14.3809347,14.7158642,14.4006596,15.3554764,15.6918602,46.1637993,13.7091522,13.8191729,14.110302,14.1355085,13.9458084,13.7221298,13.7706318,13.9003153,14.7228518,13.7494125,13.898221,13.9951906,14.1501217,13.9326897,13.7194262,14.457139,21.4302235,22.1857681,15.4004869,15.8681784,15.9971714,15.0350494,17.5836372,15.1355467,15.072257,106.751213,10.3320475
frontal_250k,16.8335152,17.3778324,17.0816994,16.766386,16.6382046,17.6768208,17.0669975,17.1502056,17.1097145,17.7943878,16.8496952,16.7517529,16.5226631,17.1956005,16.3617382,16.5967808,16.8359928,16.4480133,16.4055576,16.6445084,16.5590553,35.5017662,16.7503395,17.0746136,16.5126419,18.1484909,17.3947201,17.3955212,16.4827423,16.9639244,16.4811382,16.2957287,17.1257591,17.4466877,16.730505,16.6464634,16.3273392,16.383255,16.8652191,16.3360996,16.3328629,16.5150242,16.2016621,17.3551407,16.2988853,17.0616837,17.0030727,16.3678913,16.5827198,16.6005592,19.3349705,19.1993122,17.0144482,16.449688,17.3504314,16.6772118,16.4013271,16.3323917,16.5948772,16.3726826,16.6355896,16.1453266,16.3353729,17.1728439,17.0346603,16.1145039,16.1297417,16.3761063,16.7566872,17.0138073,18.1291389,23.5001678,18.019268,17.4461479,16.8357792,28.9573441,17.3739338,17.9406395,18.153944,17.9088211,18.0409966,17.8933926,17.7985363,18.9354439,18.0181122,18.1539917,18.3557701,20.0537529,17.3544807,17.5586033,17.2251282,19.6095047,26.0786953,22.0155315,26.1676884,19.8750362,19.0252285,21.3908043,19.9809055,20.1700459,17.8525848,7.56150818,2.74981976
